nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,nama_kelurahan,nama_kecamatan,nama_kota
warteg mitra,4.3,24,-6.2842009,106.7960637,"jl. rs. fatmawati raya no.42, rt.5/rw.3, cilandak bar., kota jakarta selatan",ChIJqfacI-rxaS4Rvo6xe2dB7rc,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg putri,3.8,8,-6.2824088,106.7929264,"jl. terogong raya no.11, rt.6/rw.10, cilandak bar., kota jakarta selatan",ChIJe364HMDxaS4RNNuG2xHYqSU,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg makmur jaya,4.7,19,-6.2874843,106.7926104,"jl. kh muhasyim i no.3b, rt.4/rw.6, cilandak bar., kota jakarta selatan",ChIJ3VME9cLxaS4R_PPBee3UESI,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg barokah,0,0,-6.2814209,106.7916717,"jl.terogong iii no.75, rt.10/rw.10, cilandak bar., kota jakarta selatan",ChIJhYS0UcDxaS4RZ1YUQNOsLmE,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg putra jaya,0,0,-6.2838807,106.7961355,"rt.5/rw.3, cilandak bar., kota jakarta selatan",ChIJoRntWVvxaS4RpHA8tSTOAb4,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg subsidi bahari,5,1,-6.288671,106.795258,"2, jl. rs. fatmawati raya no.46, rt.3/rw.5, cilandak bar., kota jakarta selatan",ChIJyXVMvbHxaS4RKZYR0GRSpRw,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg kharisma 24 jam,0,0,-6.2891031,106.7908216,"jl. kh muhasim raya blok m, jl. buntu no.8, rt.9/rw.6, cilandak bar., kota jakarta selatan",ChIJVYT-EYHxaS4RhFtiRNTjrZU,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg kharisma bahari,3.7,3,-6.2847235,106.7882284,"jl. terogong raya, rt.3/rw.6, cilandak bar., kota jakarta selatan",ChIJF_MZq8bxaS4RqeiKJGsMGmA,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg kharisma,4.3,6,-6.2810843,106.7918122,"jl.terogong iii no.5, rt.10/rw.10, cilandak bar., kota jakarta selatan",ChIJUY7AXcDxaS4RG-PJJgclL8I,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg barokah,5,1,-6.2901203,106.7954531,"jl. rs. fatmawati raya no.14, rt.7/rw.5, cilandak bar., kota jakarta selatan",ChIJZ3j1nAjxaS4RDiFlX2ckp74,Cilandak Barat,Cilandak,Kota Jakarta Selatan
